,UNITID,INSTNM,IALIAS,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,DUNS,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,DISAURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,INSTCAT,C18BASIC,C18IPUG,C18IPGRD,C18UGPRF,C18ENPRF,C18SZSET,C15BASIC,CCBASIC,CARNEGIE,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,F1SYSCOD,CBSA,CBSATYPE,CSA,NECTA,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG,EFBAGE,LINE,LSTUDY,EFAGE01,EFAGE02,EFAGE03,EFAGE04,EFAGE05,EFAGE06,EFAGE07,EFAGE08,EFAGE09
10,101028,Chattahoochee Valley Community College,CVCC,2602 College Drive,Phenix City,AL,36869,1,5,Jacqueline Screws,President,3342914900,630657380,797414158,1218200,1,www.cv.edu/,www.cv.edu/apply-for-admissions/,www.cv.edu/apply-for-financial-aid/,https://ssb-prod.ec.accs.edu/PROD/CVCC/bwskalog.P_DispLoginNon,www.cv.edu/about/consumer-information/,www.cv.edu/military-and-veterans/,www.cv.edu/about/consumer-information/,www.cv.edu/about/consumer-information/,4,2,1,3,1,2,40,1,2,-2,2,2,41,1,A,-2,-2,-2,1,1,1,1,1,4,1,2,0,2,1,2,1,2,40,2,2,1,Alabama Community College System                                                ,101030,17980,1,194,-2,1113,Russell County,103,-85.031485,32.42391,65,2,1,412,1,223,375,224,577,598,801,447,952,1399
11,101143,Enterprise State Community College,Enterprise-Ozark Community College   Enterprise State Junior College,600 Plaza Drive,Enterprise,AL,36330-1300,1,5,Matthew Rodgers,President,3343472623,630504851,91407742,101500,1,www.escc.edu/,https://www.escc.edu/admissions/,www.escc.edu/students/financial-aid-students/,https://www.escc.edu/admissions/,https://www.escc.edu/netprice/npcalc.htm,https://www.escc.edu/students/financial-aid-students/,www.escc.edu/consumer-information/,www.escc.edu/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A,-2,-2,-2,1,1,1,1,1,4,5,3,0,2,1,2,8,2,40,2,2,1,Alabama Community College System                                                ,101030,21460,2,-2,-2,1031,Coffee County,102,-85.836956,31.297496,78,2,1,412,1,503,386,468,451,889,919,971,837,1808
12,101161,Coastal Alabama Community College, ,1900 U S Highway 31 South,Bay Minette,AL,36507-2698,1,5,Craig Pouncey,President,2515802100,630501805,34267638,106000,1,www.coastalalabama.edu/,www.coastalalabama.edu/apply/,www.coastalalabama.edu/financial_aid/,www.coastalalabama.edu/apply/,www.coastalalabama.edu/about/consumer_information/net_price_calculator/,www.coastalalabama.edu/veterans/,www.coastalalabama.edu/catalog.student-right-to-know,www.coastalalabama.edu/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A,-2,-2,-2,1,1,1,1,1,4,5,2,0,2,1,4,1,5,40,2,3,1,Alabama Community College System                                                ,101030,19300,1,380,-2,1003,Baldwin County,101,-87.778193,30.851343,76,1,1,412,1,1140,1637,1658,2218,2777,3876,2798,3855,6653
13,101189,Faulkner University,Faulkner,5345 Atlanta Hwy,Montgomery,AL,36109-3390,1,5,Michael D. Williams,President,3342725820,630329409,79109500,100300,1,www.faulkner.edu/,www.faulkner.edu/undergrad/admissions/,www.faulkner.edu/undergrad/tuition-financial-aid/,applynow.myfaulkner.org/inquiryform,www.faulkner.edu/net-price-calculator/,www.faulkner.edu/graduate/military-and-veterans-services-2/,https://www.faulkner.edu/undergrad/tuition-financial-aid/financial-aid-policies/student-rights-and-responsibilities/,https://www.faulkner.edu/undergrad/student-life/living-on-campus/student-services/center-for-disability-services/,2,1,2,9,1,1,11,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,19,19,13,7,4,10,20,22,32,2,2,2,-2,-2,33860,1,388,-2,1101,Montgomery County,102,-86.21641,32.384181,119,2,1,412,1,824,1164,363,610,1988,973,1187,1774,2961
14,101240,Gadsden State Community College,GSCC | Gadsden State | Gadsden Community College,1001 George Wallace Dr,Gadsden,AL,35903,1,5,Dr. Kathy L. Murphy,President,2565498200,630501425,830976767,101700,1,www.gadsdenstate.edu/,www.gadsdenstate.edu/admissions-aid/welcome.cms,www.gadsdenstate.edu/admissions-aid/financial-aid.cms,https://www.gadsdenstate.edu/admissions-aid/apply.cms,www.gadsdenstate.edu/admissions-aid/net-price-calculator.cms,www.gadsdenstate.edu/admissions-aid/veterans-benefits.cms,www.gadsdenstate.edu/skins/userfiles/files/Student Right to Know Athletics 2019.docx.pdf,www.gadsdenstate.edu/students/ada.cms,4,2,1,3,1,2,40,1,1,-2,2,2,13,1,A,-2,-2,-2,1,1,1,1,1,4,7,3,0,2,1,3,8,3,40,2,2,1,Alabama Community College System                                                ,101030,23460,1,-2,-2,1055,Etowah County,104,-85.991438,33.994001,82,2,1,412,1,834,1082,683,1394,1916,2077,1517,2476,3993
15,101286,George C Wallace Community College-Dothan,WALLACE DOTHAN|WCCD,1141 Wallace Drive,Dothan,AL,36303-9234,1,5,Linda C Young,President,3349833521,630507618,128538170,101800,1,www.wallace.edu/,www.wallace.edu/admissions/,www.wallace.edu/financial-aid/,www.wallace.edu/admissions/,www.wallace.edu/npcalc/,www.wallace.edu/veterans-affairs/,www.wallace.edu/about/consumer-information/,www.wallace.edu/campus-life-resources/disability-support-services/,4,2,1,3,1,2,40,1,2,-2,2,2,13,1,A,-2,-2,-2,1,1,1,1,1,4,7,3,0,2,1,3,7,2,40,2,2,1,Alabama Community College System                                                ,101030,37120,2,222,-2,1045,Dale County,102,-85.465836,31.315274,82,2,1,412,1,426,789,773,1693,1215,2466,1199,2482,3681
16,101295,George C Wallace State Community College-Hanceville,Wallace State Community College Wallace State - Hanceville,801 Main St NW,Hanceville,AL,35077-2000,1,5,Vicki P. Karolewics,President,2563528000,630498828,039570619|797414232,787100,1,www.wallacestate.edu/,www.wallacestate.edu/Admissions,www.wallacestate.edu/Financial-Aid,www.wallacestate.edu/Admissions/Apply-Online,www.wallacestate.edu/Financial-Aid/Net-Price-Calculator,www.wallacestate.edu/Financial-Aid/Veterans-Affairs,www.wallacestate.edu/consumer-information,www.wallacestate.edu/special-accommodations-ada,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A,-2,-2,-2,1,1,1,1,1,4,7,3,0,2,1,3,7,2,40,2,2,1,Alabama Community College System                                                ,101030,18980,2,142,-2,1043,Cullman County,104,-86.781935,34.072439,82,1,1,412,1,850,1499,750,1664,2349,2414,1600,3163,4763
17,101301,George C Wallace State Community College-Selma,Wallace Community College - Selma,3000 Earl Goodwin Parkway,Selma,AL,36703-2808,1,5,Dr. James M. Mitchell,President,3348769227,630600375,082152281|847767746,569900,1,www.wccs.edu/,www.wccs.edu/college-frontpage-home/admissions/,www.wccs.edu/financial-aid-3/,www.wccs.edu/college-frontpage-home/admissions/admissions-application/,img.wccs.edu/files/finaid/NetPriceCalculator (6)/npcalc.htm,www.wccs.edu/financial-aid-3/veterans-affairs/,img.wccs.edu/files/students/csi/srtk_2018.pdf,www.wccs.edu/college-frontpage-home/about-us-2/consumer-student-information/#fasfswd,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A,-2,-2,-2,1,1,1,1,1,4,5,2,0,2,1,2,9,2,40,2,2,1,Alabama Community College System                                                ,101030,42820,2,388,-2,1047,Dallas County,107,-87.013294,32.445917,78,2,1,412,1,179,279,279,579,458,858,458,858,1316
18,101435,Huntingdon College, ,1500 East Fairview Avenue,Montgomery,AL,36106-2148,1,5,J. Cameron West,President,3348334497,630288841,82145608,101900,1,www.huntingdon.edu/,www.huntingdon.edu/admission-aid/,www.huntingdon.edu/admission-aid/student-financial-services/,www.huntingdon.edu/admission-aid/traditional-admission/,hawk.huntingdon.edu/oiac/netpricecalculator/index.html, , ,www.huntingdon.edu/academics/academic-resources/disability-services/,2,1,2,5,1,2,30,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,22,15,0,8,2,7,22,22,31,2,1,2,-2,-2,33860,1,388,-2,1101,Montgomery County,102,-86.284366,32.351034,139,1,1,412,1,428,361,35,96,789,131,463,457,920
19,101462,J. F. Drake State Community and Technical College,Drake State,3421 Meridian St N,Huntsville,AL,35811,1,5,Dr. Patricia Sims,President,2565398161,630439942,39526595,526000,1,https://www.drakestate.edu/,https://www.drakestate.edu/admissions,https://www.drakestate.edu/admissions/financial-aid,https://ssb-prod.ec.accs.edu/PROD/DRAKE/bwskalog.P_DispLoginNon,https://www.drakestate.edu/admissions/tuition-fees/net-price-calculator,https://www.drakestate.edu/Content/Uploads/Drake State Community College/Files/Frequently Asked Questions - VA.pdf, ,https://www.drakestate.edu/current-students/disability-support-services,4,2,1,3,1,2,40,1,1,-2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,4,7,3,0,2,1,1,9,1,40,2,1,1,Alabama Community College System                                                ,101030,26620,1,290,-2,1089,Madison County,105,-86.572885,34.771858,83,1,1,412,1,103,149,238,335,252,573,341,484,825
20,101471,J F Ingram State Technical College,ISTC,5375 Ingram Rd,Deatsville,AL,36022,1,5,Annette Funderburk,President,3.34286E+13,630506768,620201137,3002500,1,www.istc.edu/, , , ,istc.edu/NetPrice/, , ,www.istc.edu/,4,2,1,3,1,2,40,1,2,-2,2,2,21,1,A,-2,-2,-2,1,1,1,1,1,4,-2,-2,-2,-2,-2,-2,8,1,40,2,1,1,Alabama Community College System                                                ,101030,33860,1,388,-2,1051,Elmore County,102,-86.392369,32.582312,220,2,1,412,1,199,50,115,35,249,150,314,85,399
21,101480,Jacksonville State University, ,700 Pelham Road North,Jacksonville,AL,36265,1,5,Don Killingsworth,President,2567825781,636001099,79107165,102000,1,www.jsu.edu/,www.jsu.edu/admissions/,www.jsu.edu/finaid/,www.jsu.edu/undergraduate/apply/index.html,www.jsu.edu/finaid/,www.jsu.edu/finaid/veteransaffairs/,www.jsugamecocksports.com/sports/2008/6/2/Compliance.aspx?tab=compliance,www.jsu.edu/dss/,1,1,1,9,1,1,13,1,2,2,2,2,23,1,A,-2,-2,-2,1,1,1,1,1,2,18,17,13,13,3,13,18,18,21,2,3,2,-2,-2,11500,1,-2,-2,1015,Calhoun County,103,-85.765321,33.822938,108,2,1,412,1,2613,3871,971,1783,6484,2754,3584,5654,9238
22,101505,Jefferson State Community College,Jeff State | JSCC | Jefferson State,2601 Carson Rd,Birmingham,AL,35215-3098,1,5,Keith Brown,President,2058531200,630501357,75459529,102200,1,www.jeffersonstate.edu/,www.jeffersonstate.edu/become-a-student/,www.jeffersonstate.edu/financial-aid/,www.jeffersonstate.edu/admissions/application-types-2/,www.jeffersonstate.edu/financial-aid/net-price-calculator/,www.jeffersonstate.edu/financial/veterans/, ,https://library.jeffersonstate.edu/ADA,4,2,1,3,1,2,40,1,2,-2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,4,8,2,0,1,1,3,5,7,40,2,3,1,Alabama Community College System                                                ,101030,13820,1,142,-2,1073,Jefferson County,106,-86.707233,33.652535,85,1,1,412,1,930,1521,2133,3942,2451,6075,3063,5463,8526
23,101514,John C Calhoun State Community College,Calhoun Community College,6250 U S Highway 31 N,Tanner,AL,35671,1,5,Dr. Joe Burke,Interim President,2563062500,630505871,75464107,101300,1,https://calhoun.edu/,https://calhoun.edu/student-services/calhoun-admissions-records/,https://calhoun.edu/student-services/financial-aid/,https://calhoun.edu/student-services/calhoun-admissions-records/5-simple-steps/,https://calhoun.edu/student-services/financial-aid/net-price-calculator/,https://calhoun.edu/student-services/financial-aid/veterans-benefits/,https://calhoun.edu/overview/consumer-information/,https://calhoun.edu/student-services/student-disability-services/,4,2,1,3,1,2,40,1,2,-2,2,2,41,1,A,-2,-2,-2,1,1,1,1,1,4,2,2,0,1,1,4,5,3,40,2,3,1,Alabama Community College System                                                ,101030,26620,1,290,-2,1083,Limestone County,105,-86.949674,34.645844,67,1,1,412,1,1173,1385,2460,3260,2558,5720,3633,4645,8278
24,101569,Lawson State Community College, ,3060 Wilson Rd SW,Birmingham,AL,35221-1717,1,5,Perry W Ward,President,2059252515,630641064,67109926,105900,1,www.lawsonstate.edu/,www.lawsonstate.edu/admissions_records.aspx,www.lawsonstate.edu/financial_aid.aspx,www.lawsonstate.edu/admissions_records/admissions_information/admission_procedures_for_all_students.aspx,www.lawsonstate.edu/disclosure_and_consumer_information/general_institutional_information/net_price_calculator.aspx,www.lawsonstate.edu/financial_aid/getting_started/veterans_benefits.aspx, ,www.lawsonstate.edu/student_services/disability_services_ada.aspx,4,2,1,3,1,2,40,1,1,-2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,4,4,3,0,2,1,3,5,7,40,2,2,1,Alabama Community College System                                                ,101030,13820,1,142,-2,1073,Jefferson County,107,-86.888844,33.450814,74,1,1,412,1,458,740,502,1123,1198,1625,960,1863,2823
25,101587,University of West Alabama, ,Station One,Livingston,AL,35470,1,5,Dr. Ken Tucker,President,2056523400,636001100,968832394,102400,1,www.uwa.edu/,www.uwa.edu/Admissions/,https://www.uwa.edu/admissions/undergraduate/financialaid,https://www.uwa.edu/apply,secure.uwa.edu/calculator/, ,https://catalog.uwa.edu/content.php?catoid=35&navoid=1581&hl=Student+Right+to+Know&returnto=search,https://www.uwa.edu/americandisabilityact,1,1,1,9,1,1,12,1,2,2,2,2,43,1,A,-2,-2,-2,1,1,1,1,1,2,18,13,6,11,6,13,18,18,21,2,3,2,-2,-2,-2,-2,-2,-2,1119,Sumter County,107,-88.186329,32.588132,110,1,1,412,1,1152,3843,294,445,4995,739,1446,4288,5734
26,101602,Lurleen B Wallace Community College,"Lurleen B. Wallace Community College, LBW Community College, LBWCC",1000 Dannelly Blvd.,Andalusia,AL,36420-1224,1,5,Brock Kelley,Interim President,3342226591,630576487,39570254,898800,1,https://www.lbwcc.edu/,https://www.lbwcc.edu/student-services/admissions,https://www.lbwcc.edu/financial-aid,https://ssb-prod.ec.accs.edu/PROD/LBWCC/bwskalog.P_DispLoginNon,https://www.lbwcc.edu/financial-aid/net-price-calculator,www.lbwcc.edu/financial-aid/veterans-benefits/,www.lbwcc.edu/consumer-information,www.lbwcc.edu/student-services/admissions/special-accommodations,4,2,1,3,1,2,40,1,2,-2,2,2,41,1,A,-2,-2,-2,1,1,1,1,1,4,5,3,0,2,1,2,7,1,40,2,2,1,Alabama Community College System                                                ,101030,-2,-2,-2,-2,1039,Covington County,102,-86.452262,31.322947,78,1,1,412,1,298,460,432,476,758,908,730,936,1666
27,101648,Marion Military Institute, ,1101 Washington St,Marion,AL,36756-3207,1,5,Col David J. Mollahan,President,8006641842,630288853,72092182,102600,1,www.marionmilitary.edu/,www.marionmilitary.edu/admissions/,marionmilitary.edu/admissions/financial-aid/,marionmilitary.emasservices.com/Apply.aspx,marionmilitary.edu/calculator/,https://marionmilitary.edu/veterans-benefits/,marionmilitary.edu/about-mmi/consumer-info/,marionmilitary.edu/request-for-accomodations/,4,2,1,3,1,2,40,1,2,-2,2,2,43,1,A,-2,-2,-2,1,1,1,1,1,4,1,1,0,4,1,1,1,1,40,2,1,1,Alabama Community College System                                                ,101030,-2,-2,-2,-2,1105,Perry County,107,-87.322041,32.623734,65,2,1,412,1,285,115,0,1,400,1,285,116,401
28,101709,University of Montevallo, ,Station 6001,Montevallo,AL,35115-6000,1,5,John W. Stewart III,President,2056656155,636000720, ,100400,1,www.montevallo.edu/,www.montevallo.edu/admissions/,https://www.montevallo.edu/admissions-aid/,https://www.montevallo.edu/admissions/,https://www.montevallo.edu/NetPriceCalculator/,www.montevallo.edu/about-um/administration/enrollment-and-student-affairs/veterans-affairs/,https://montevallofalcons.com/sports/2016/9/20/compliance.aspx,https://www.montevallo.edu/campus-life/student-services/disability-support-services/,1,1,1,8,1,1,20,1,2,2,2,2,21,1,A,-2,-2,-2,1,1,1,1,1,2,19,13,6,13,3,11,19,19,21,2,2,2,-2,-2,13820,1,142,-2,1117,Shelby County,106,-86.865099,33.10625,118,2,1,412,1,738,1409,135,318,2147,453,873,1727,2600
29,101736,Northwest-Shoals Community College, ,800 George Wallace Blvd,Muscle Shoals,AL,35661,1,5,Glenda Colagross,President,2563315200,630513822,18777714,569700,1,https://www.nwscc.edu/,https://www.nwscc.edu/about-nw-scc/college-departments/student-services/admissions,https://www.nwscc.edu/about-nw-scc/college-departments/student-services/financial-aid,www.nwscc.edu/about-nw-scc/college-departments/student-services/admissions/apply-online,www.nwscc.edu/about-nw-scc/college-departments/student-services/financial-aid/future-students-financial-aid-calculator, , ,www.nwscc.edu/about-nw-scc/at-a-glance/policies/disability,4,2,1,3,1,2,40,1,2,-2,2,2,13,1,A,-2,-2,-2,1,1,1,1,1,4,5,3,0,2,1,3,7,2,40,2,2,1,Alabama Community College System                                                ,101030,22520,1,-2,-2,1033,Colbert County,104,-87.678089,34.739788,77,2,1,412,1,441,640,905,1374,1081,2279,1346,2014,3360
30,101897,Northeast Alabama Community College,"Northeast, NACC, Northeast Alabama State Junior College, Northeast Alabama State Community College",138  Highway 35,Rainsville,AL,35986,1,5,J. David Campbell,President,2.56638E+13,630504999, ,103100,1,https://www.nacc.edu/,https://www.nacc.edu/admission-financial-aid/admissions,https://www.nacc.edu/admission-financial-aid/financial-aid,www.nacc.edu/admission-financial-aid/admissions#admission process,https://www.nacc.edu/Content/Uploads/nacc.edu/files/Financial Aid/net-price-calc/npcalc.htm,https://www.nacc.edu/admission-financial-aid/financial-aid/veterans-benefits,www.nacc.edu/admission-financial-aid/financial-aid/consumer-information,https://www.nacc.edu/admission-financial-aid/admissions/disability-services,4,2,1,3,1,2,40,1,2,-2,2,2,42,1,A,-2,-2,-2,1,1,1,1,1,4,5,3,0,2,1,2,7,2,40,2,2,1,Alabama Community College System                                                ,101030,42460,2,497,-2,1071,Jackson County,105,-85.911664,34.545471,77,2,1,412,1,358,611,553,1008,969,1561,911,1619,2530
31,101912,Oakwood University,OU,7000 Adventist Blvd NW,Huntsville,AL,35896,1,5,Leslie Pollard,President,2567267000,630366652,72095326,103300,1,https://www2.oakwood.edu/,https://my.oakwood.edu/ICS/Admissions/,www2.oakwood.edu/financial-aid/,https://my.oakwood.edu/ICS/Admissions/,https://oakwood.studentaidcalculator.com/, , ,www2.oakwood.edu/life-at-oakwood/disability-support-services/,2,1,2,7,1,1,20,1,1,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,22,13,3,10,3,11,22,22,32,2,2,2,-2,-2,26620,1,290,-2,1089,Madison County,105,-86.652705,34.756344,138,2,1,412,1,523,739,53,59,1262,112,576,798,1374
