,UNIQUEID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,TOT_ENROLL,TOT_EMP,SHELTERID,preprocessed_name,centroid_x_epsg_102005,centroid_y_epsg_102005,centroid_long,centroid_lat,geometry,State,OPE ID,IPED ID,School Name,Institution Type,# of Nat'l AP Partners,# of Partners,Civic Holiday,MSI,NSLVE,"NSLVE
2014",2016 NSLVE Report,2018 NSLVE Reports,2016 Action Plan,2018 Action Plan,2020 Action Plan,Campus Contact,City,Longitude,Latitude,Pell Grant %,BIPOC %,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latinx,NHPI,Two or more Races,SLSV Coalition,ALL IN,AGF,Ask Every Student,Campus Vote Project,Voter Friendly Campus,StudentPIRGs,Aliento Education Fund,Alliance for Youth Organizing,American Democracy Project, Arizona Students' Association,Baltimore Collegetown Network		,Black Girls Vote,Boston Votes Coalition,California Campus Compact ,CALPIRG Students,CEEP,Civic Nebraska,Common Cause,Count US IN,Creative Campus Voting Project,Day on Democracy,Democracy Works,Engage Miami,Every Vote Counts,Forward Montana,Georgia Shift,Hillel International,IGNITE National,IA & MN Campus Compact,LeadMN,Loud Light,Maine Students Vote,MARYPIRG,MI Familia Vota,Minnesota Youth Collective,Mississippi Votes,NASPAA,New Era Colorado,NYPIRG,NCAAT,NCPIRG,NC Campus Compact,Ohio Campus Compact,PIRGIM Campus Action,Project Pericles,TurnUp Activism,Up to Us/ Net Impact,VoteRiders,Washington Student Association,Xceleader (Vote HBCU),NVEW 2020,"NVRD
2017",NVRD 2018,NVRD 2020,_merge
16,493354,SANTA BARBARA BUSINESS COLLEGE -,4839 MARKET STREET,VENTURA,CA,93003,8053,NOT AVAILABLE,-3,G,-999.0,VENTURA,06111,USA,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://sbbcollege.edu/locations/,2019-12-12,IMAGERY/OTHER,2019-12-12,https://sbbcollege.edu/locations/,-999.0,-999.0,NOT AVAILABLE,santabarbarabusinesscollege,-2112063.287564856,-255851.08894293057,-119.22653298570388,34.25784012959182,"POLYGON ((-2112083.637320933 -255817.8707612964, -2112031.668784175 -255829.2167742203, -2112043.013300869 -255884.0853138765, -2112094.691789843 -255873.360205394, -2112083.637320933 -255817.8707612964))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
17,484233,TRI-COMMUNITY ADULT EDUCATION,231 STEPHANIE DRIVE,COVINA,CA,91722,3925,(626) 974-4200,1,A,335.0,LOS ANGELES,06037,USA,611210,JUNIOR COLLEGES,https://www.c-vusd.org/domain/559,2019-04-25,IMAGERY/OTHER,2019-04-25,www.tri-communityadulted.org,268.0,67.0,NOT AVAILABLE,tricommunityadulteducation,-1996555.0521687705,-304418.88044399634,-117.88036110292684,34.088191590253835,"POLYGON ((-1996562.948682132 -304394.0755831692, -1996537.145001051 -304399.3006000954, -1996546.779129085 -304444.223024436, -1996573.484276922 -304437.1472740799, -1996562.948682132 -304394.0755831692))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
18,463791,GEORGIA MILITARY COLLEGE - MADISON,2151 EATONTON ROAD,MADISON,GA,30650,0000,NOT AVAILABLE,-3,G,-999.0,MORGAN,13211,USA,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://www.gmc.edu/about-gmc/madison.cms,2019-12-12,IMAGERY/OTHER,2019-12-12,https://www.gmc.edu/about-gmc/madison.cms,-999.0,-999.0,NOT AVAILABLE,georgiamilitarycollegemadison,1158304.115383065,-520103.2443117091,-83.46947396892357,33.59471327892912,"POLYGON ((1158275.688601288 -520100.3864946394, 1158289.728997438 -520076.917942873, 1158333.115526795 -520104.5960216122, 1158316.15904486 -520130.1730214135, 1158275.688601288 -520100.3864946394))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
19,163028,LINCOLN COLLEGE OF TECHNOLOGY-COLUMBIA,9325 SNOWDEN RIVER PKY,COLUMBIA,MD,21046,NOT AVAILABLE,(410) 290-1500,3,A,830.0,HOWARD,24027,USA,611210,JUNIOR COLLEGES,www.lincolnedu.com/campus/columbia-md,2017-10-18,IMAGERY/OTHER,2020-01-31,www.lincolnedu.com/campus/columbia-md,749.0,81.0,NOT AVAILABLE,lincolncollegetechnologycolumbia,1634858.7983133593,191733.15259493035,-76.83641570211326,39.17426745161852,"POLYGON ((1634722.207939915 191849.7296064292, 1634894.182276229 191913.954740523, 1635002.550407877 191623.472488513, 1634812.73455989 191554.6313587021, 1634722.207939915 191849.7296064292))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
20,110936,CALIFORNIA COAST UNIVERSITY,925 NORTH SPURGEON STREET,SANTA ANA,CA,92701,NOT AVAILABLE,(714) 547-9625,3,R,-999.0,ORANGE,06059,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://www.calcoast.edu/contact-us.html,2019-12-12,IMAGERY/OTHER,2019-12-12,https://www.calcoast.edu/contact-us.html,-999.0,-999.0,NOT AVAILABLE,californiacoastuniversity,-2004028.7419076718,-340858.1690538086,-117.86524864230873,33.753072783782144,"POLYGON ((-2004037.508865928 -340820.9916849553, -2004004.062295304 -340828.0805396081, -2004019.650541174 -340895.5629935324, -2004053.752464788 -340887.4446694836, -2004037.508865928 -340820.9916849553))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
21,235352,TONI & GUY HAIRDRESSING ACADEMY-SHORELINE,18336 AURORA AVE. NORTH SUITE 103,SHORELINE,WA,98133,NOT AVAILABLE,(206) 542-1115,3,A,70.0,KING,53033,USA,611511,COSMETOLOGY AND BARBER SCHOOLS,www.toniguy.edu,2019-04-12,IMAGERY/OTHER,2019-04-12,www.toniguy.edu,61.0,9.0,NOT AVAILABLE,toniguyhairdressingacademyshoreline,-1960952.499447477,1258657.7321524727,-122.34437098635145,47.76206807792956,"POLYGON ((-1960962.909540459 1258691.358950728, -1960925.045248601 1258675.967353838, -1960940.934984132 1258624.385741262, -1960980.720302725 1258639.934220608, -1960962.909540459 1258691.358950728))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
22,242413,RICHPORT TECHNICAL COLLEGE,CARRETA 189 KM 6.0 RINCON INDUSTRIAL PARK,GURABO,PR,00778,NOT AVAILABLE,(787) 712-4851,3,A,65.0,GURABO,72063,PRI,611519,OTHER TECHNICAL AND TRADE SCHOOLS,http://www.richporttc.com/,2019-04-12,IMAGERY/OTHER,2019-04-12,www.richporttc.com,46.0,19.0,NOT AVAILABLE,richporttechnicalcollege,3283852.1158221946,-1753831.7209338953,-65.97292475233951,18.254774847432465,"POLYGON ((3283840.789109678 -1753848.876079749, 3283832.430222667 -1753827.397614582, 3283866.485470385 -1753816.718423566, 3283872.185784714 -1753832.582887493, 3283840.789109678 -1753848.876079749))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
23,440466,UNIVERSITY OF PHOENIX-IDAHO,999 WEST MAIN STREET,BOISE,ID,83642,5114,(866) 766-0766,3,A,-999.0,ADA,16001,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",www.phoenix.edu,2019-04-16,IMAGERY/OTHER,2019-04-16,www.phoenix.edu,-999.0,-999.0,NOT AVAILABLE,universityphoenixidaho,-1613931.801078237,692194.1091408987,-116.20559532736947,43.61630552643457,"POLYGON ((-1613915.693608543 692135.1500788538, -1613974.596076067 692209.3902648379, -1613980.425932347 692224.930538247, -1613950.87698598 692251.4715664091, -1613880.581423872 692173.3105696988, -1613915.693608543 692135.1500788538))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
24,491491,OIKOS UNIVERSITY,7850 EDGEWATER DRIVE,OAKLAND,CA,94621,2041,(510) 639-7879,2,N,110.0,ALAMEDA,06001,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",http://www.oikos.edu/en/contact.php,2019-12-12,IMAGERY/OTHER,2019-12-12,http://www.oikos.edu/en/contact.php,86.0,24.0,NOT AVAILABLE,oikosuniversity,-2265824.7566579673,188080.54252687516,-122.19948514106824,37.74229143036553,"POLYGON ((-2265867.109248522 188081.5737518938, -2265794.193353691 188109.8219689619, -2265782.866366151 188078.0563285956, -2265856.684320398 188052.057189217, -2265867.109248522 188081.5737518938))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
26,377342,VISTA COLLEGE-ONLINE,"300 N. COIT RD, SUITE 300",RICHARDSON,TX,75080,NOT AVAILABLE,(972) 733-3431,3,A,879.0,DALLAS,48113,USA,611210,JUNIOR COLLEGES,vistacollege.edu,2019-04-15,IMAGERY/OTHER,2019-04-15,vistacollege.edu,768.0,111.0,NOT AVAILABLE,vistacollegeonline,-71832.36951983508,-670511.462976175,-96.76820280169777,32.95439082062199,"POLYGON ((-71883.26307548695 -670469.2290666446, -71781.75429464386 -670470.4136628875, -71780.78223030103 -670553.220546521, -71883.40999336867 -670552.6862190509, -71883.26307548695 -670469.2290666446))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
27,216940,WILLIAMSON COLLEGE OF THE TRADES,106 SOUTH NEW MIDDLETOWN ROAD,MEDIA,PA,19063,5299,(610) 566-1776,2,R,372.0,DELAWARE,42045,USA,611210,JUNIOR COLLEGES,https://www.williamson.edu/contact/#single/0,2019-12-12,IMAGERY/OTHER,2019-12-12,https://www.williamson.edu/contact/#single/0,257.0,115.0,NOT AVAILABLE,williamsoncollegetrades,1735276.1935196456,297155.4506761746,-75.42312720593551,39.905887169000145,"POLYGON ((1735310.122876836 296867.6019382042, 1735237.992293154 296869.7514321061, 1734999.447936052 296989.0336066264, 1734964.116163948 297156.5761673172, 1735094.308394488 297218.980469003, 1735216.054972278 297345.3184106134, 1735207.200796232 297424.6066047348, 1735224.911609031 297499.420081548, 1735284.561186952 297532.6276987852, 1735545.071732444 297244.371801211, 1735542.488473305 297081.950339818, 1735310.122876836 296867.6019382042))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
28,189255,BERKOWITS SCHOOL OF ELECTROLYSIS,107-25 METROPOLITAN AVENUE,FOREST HILLS,NY,11375,6820,(718) 544-4234,3,R,141.0,QUEENS,36081,USA,611519,OTHER TECHNICAL AND TRADE SCHOOLS,http://estheticsschoolny.com/new-york-school-of-esthetics/,2019-12-12,IMAGERY/OTHER,2019-12-12,http://estheticsschoolny.com/new-york-school-of-esthetics/,139.0,2.0,NOT AVAILABLE,berkowitsschoolelectrolysis,1844347.884998359,414951.84926173696,-73.84514103881335,40.709775711226854,"POLYGON ((1844345.44933497 414940.7527020288, 1844344.198926249 414962.7654006246, 1844350.25295991 414963.2856035211, 1844351.578240285 414940.638075773, 1844345.44933497 414940.7527020288))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29,491659,INTERNATIONAL COLLEGE OF HOLISTIC STUDIES,1500 STATE STREET,SAN DIEGO,CA,92101,2927,(858) 581-9460,2,N,66.0,SAN DIEGO,06073,USA,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://icohs.edu/,2019-12-12,IMAGERY/OTHER,2019-12-12,https://icohs.edu/,44.0,22.0,NOT AVAILABLE,internationalcollegeholisticstudies,-1967517.2655570682,-467345.59731794853,-117.16688007575752,32.72113159608403,"POLYGON ((-1967533.45138218 -467326.2257194194, -1967495.564192699 -467335.7219873504, -1967501.083919717 -467365.8708713661, -1967539.788996579 -467354.0121910978, -1967533.45138218 -467326.2257194194))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
30,492421,NO GREASE BARBER SCHOOL,1701 WEST TRADE STREET,CHARLOTTE,NC,28216,5549,(980) 819-9481,3,N,15.0,MECKLENBURG,37119,USA,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nogrease.com/barber-school/,2019-12-12,IMAGERY/OTHER,2019-12-12,https://nogrease.com/barber-school/,11.0,4.0,NOT AVAILABLE,nogreasebarberschool,1364766.8831800679,-305695.22897664073,-80.8918546534125,35.2246286863446,"POLYGON ((1364760.093082796 -305708.8873997921, 1364755.635106202 -305684.5911426037, 1364773.695263928 -305681.571894635, 1364778.110369059 -305705.8860040895, 1364760.093082796 -305708.8873997921))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
31,160940,PURDUE UNIVERSITY GLOBAL-LEWISTON,475 LISBON STREET,LEWISTON,ME,04240,0000,(207) 333-3300,1,A,505.0,ANDROSCOGGIN,23001,USA,611210,JUNIOR COLLEGES,https://www.purdueglobal.edu/campus-locations/,2019-04-18,IMAGERY/OTHER,2019-04-18,https://www.kaplanuniversity.edu,503.0,2.0,NOT AVAILABLE,purdueuniversitygloballewiston,2039865.2800238784,804245.223810865,-70.32382344047312,43.63897385201733,"POLYGON ((2039810.907470837 804230.8749683016, 2039857.501165642 804307.6464120682, 2039919.385301898 804260.8704002424, 2039873.342394374 804182.1937784349, 2039810.907470837 804230.8749683016))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
35,184056,LINCOLN TECHNICAL INSTITUTE-ISELIN,"675 US ROUTE 1 SOUTH, 2ND FLOOR",ISELIN,NJ,08830,NOT AVAILABLE,(732) 548-2100,3,A,529.0,MIDDLESEX,34023,USA,611519,OTHER TECHNICAL AND TRADE SCHOOLS,www.lincolnedu.com/campus/edison-nj,2018-06-21,IMAGERY/OTHER,2020-01-31,www.lincolnedu.com/campus/edison-nj,459.0,70.0,NOT AVAILABLE,lincolntechnicalinstituteiselin,1810388.0749594583,389449.68120882707,-74.30917103859844,40.55952712398426,"POLYGON ((1810388.494851651 389434.7327446314, 1810373.475454844 389449.0359696195, 1810387.757868038 389465.0045800166, 1810402.636678458 389449.5797634517, 1810388.494851651 389434.7327446314))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
