,State,OPE ID,IPED ID,School Name,Institution Type,# of Nat'l AP Partners,# of Partners,Civic Holiday,MSI,NSLVE,"NSLVE
2014",2016 NSLVE Report,2018 NSLVE Reports,2016 Action Plan,2018 Action Plan,2020 Action Plan,Campus Contact,City,Longitude,Latitude,Pell Grant %,BIPOC %,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latinx,NHPI,Two or more Races,SLSV Coalition,ALL IN,AGF,Ask Every Student,Campus Vote Project,Voter Friendly Campus,StudentPIRGs,Aliento Education Fund,Alliance for Youth Organizing,American Democracy Project, Arizona Students' Association,Baltimore Collegetown Network		,Black Girls Vote,Boston Votes Coalition,California Campus Compact ,CALPIRG Students,CEEP,Civic Nebraska,Common Cause,Count US IN,Creative Campus Voting Project,Day on Democracy,Democracy Works,Engage Miami,Every Vote Counts,Forward Montana,Georgia Shift,Hillel International,IGNITE National,IA & MN Campus Compact,LeadMN,Loud Light,Maine Students Vote,MARYPIRG,MI Familia Vota,Minnesota Youth Collective,Mississippi Votes,NASPAA,New Era Colorado,NYPIRG,NCAAT,NCPIRG,NC Campus Compact,Ohio Campus Compact,PIRGIM Campus Action,Project Pericles,TurnUp Activism,Up to Us/ Net Impact,VoteRiders,Washington Student Association,Xceleader (Vote HBCU),NVEW 2020,"NVRD
2017",NVRD 2018,NVRD 2020,preprocessed_name,UNIQUEID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,TOT_ENROLL,TOT_EMP,SHELTERID,x_centroid,y_centroid,centroid_geom,geometry
547,IA,11113.00,153861.00,Maharishi University of Management,"Private, 4 Year",0.0,0.0,0.0, ,No,,,,,,,,Fairfield,-91.967306,41.017781,57,11.87%,0.19%,2.07%,6.22%,2.46%,0.05%,0.87%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,maharishi university management,153861,MAHARISHI UNIVERSITY OF MANAGEMENT,1000 N 4TH ST,FAIRFIELD,IA,52557,NOT AVAILABLE,(641) 472-7000,2,A,2028,JEFFERSON,19101,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://services.mum.edu/campus-security/mum-clery-report/,2018-05-08,IMAGERY/OTHER,2018-05-08,https://www.mum.edu,1589,439,NOT AVAILABLE,-10237461.088067396,5015457.699235762,"-10237461.088067396, 5015457.699235762","POLYGON ((-10236905.78705156 5016586.834574617, -10236903.66808505 5016268.722034921, -10236777.58495811 5016269.424270036, -10236777.58495811 5016131.789370107, -10236864.99547131 5016131.789370107, -10236864.46570186 5015981.254790806, -10236921.54744243 5015981.254790806, -10236924.19628971 5015416.435624464, -10236923.53405006 5015286.536460175, -10237021.5337185 5014995.772568579, -10237269.87481204 5014993.421665672, -10237270.5273669 5014678.315822774, -10237348.86734535 5014677.351680073, -10237348.86734535 5014521.484774799, -10237832.00918616 5014525.697428783, -10237835.1878029 5014666.820031741, -10238001.5925192 5014668.570387832, -10238002.25943427 5014720.442386856, -10238039.75451043 5014721.566020128, -10238048.97465858 5014833.988133052, -10238192.97332173 5014859.110424816, -10238164.16918084 5015189.202305505, -10238132.38357004 5015353.505796508, -10238019.54445688 5015574.687846201, -10237865.38410533 5015709.506076324, -10237782.25326996 5015771.278304745, -10237782.0113727 5015888.124266085, -10237482.69652774 5016193.584498554, -10237050.41177553 5016585.430058549, -10236905.78705156 5016586.834574617))"
548,IA,1879.00,154004.00,Morningside College,"Private, 4 Year",1.0,3.0,1.0, ,Yes,,,x https://www.allinchallenge.org/wp-content/uploads/Morningside-College-NSLVE-2018.pdf,,http://www.allinchallenge.org/wp-content/uploads/Morningside-College-Action-Plan-2018.pdf,,,Sioux City,-96.359464,42.473891,30,7.97%,0.35%,0.62%,1.18%,4.24%,0.19%,1.40%, ,X, , , , , , , , , , , , , , ,X, , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , ,X,morningside college,154004,MORNINGSIDE COLLEGE,1501 MORNINGSIDE AVE,SIOUX CITY,IA,51106,1751,(712) 274-5000,2,A,3148,WOODBURY,19193,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://www.morningside.edu/about-morningside/maps-and-directions/,2018-05-09,IMAGERY/OTHER,2018-05-09,https://www.morningside.edu,2698,450,NOT AVAILABLE,-10727093.122075045,5232398.006909417,"-10727093.122075045, 5232398.006909417","POLYGON ((-10726701.62174144 5232639.423308707, -10726574.87648617 5232405.091259082, -10726450.51513779 5232158.375739222, -10726367.07783986 5231997.852297465, -10726557.79172732 5232000.006989899, -10726557.39431674 5231929.980869303, -10726887.18988544 5231933.7297087, -10727067.55395457 5231933.212809462, -10727067.95136515 5231997.852297465, -10726972.99172068 5231997.313662165, -10726972.19701083 5232061.414949871, -10727064.65975912 5232113.285011171, -10727069.95745369 5232142.014031421, -10726914.717971 5232100.378743537, -10726965.5750596 5232274.909450021, -10727006.89640931 5232262.699328302, -10727053.51534226 5232296.456575713, -10727061.46177279 5232341.705895868, -10727200.49135651 5232300.2028439, -10727238.15641754 5232328.755698568, -10727303.05211845 5232364.66795768, -10727361.32586813 5232436.493036474, -10727363.9746041 5232504.727163473, -10728029.33465147 5232519.832413062, -10728102.4417233 5232519.832413062, -10728102.4417233 5232585.194191055, -10728029.47736306 5232584.477424995, -10728029.85328898 5232754.705987914, -10727381.43729261 5232751.114547183, -10727382.51631244 5232642.992822002, -10726701.62174144 5232639.423308707))"
549,IA,1880.00,154013.00,Mount Mercy University,"Private, 4 Year",0.0,2.0,0.0, ,Yes,,,,,,,,Cedar Rapids,-91.650991,42.001931,40,13.44%,1.14%,1.97%,6.87%,0.96%,0.31%,2.19%, , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , ,mount mercy university,154013,MOUNT MERCY UNIVERSITY,1330 ELMHURST DR NE,CEDAR RAPIDS,IA,52402,4797,(319) 363-8213,2,A,2166,LINN,19113,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://www.mtmercy.edu/maps-parking,2018-05-09,IMAGERY/OTHER,2018-05-09,www.mtmercy.edu,1835,331,NOT AVAILABLE,-10202894.873361245,5161156.585446386,"-10202894.873361245, 5161156.585446386","MULTIPOLYGON (((-10202362.68013959 5161219.229106044, -10202381.22184793 5161140.812540913, -10202546.77207582 5161144.376977525, -10202676.56347764 5161139.030398001, -10202753.37871302 5161135.465963392, -10202883.17011484 5161128.337247971, -10202888.4678094 5161217.44694848, -10202897.73860792 5161306.557482063, -10202962.63430883 5161374.282134651, -10202954.6878783 5161525.773105033, -10202889.79217739 5161666.572729376, -10202730.86390073 5161734.2999401, -10202710.99793572 5161691.524740574, -10202695.10507466 5161664.790488157, -10202638.15580429 5161648.749882821, -10202489.82280544 5161622.015600587, -10202341.4898066 5161575.676455552, -10202362.68013959 5161219.229106044)), ((-10202188.0876521 5160705.185358421, -10202668.05087618 5160328.811696353, -10202725.26508694 5160392.965245526, -10202847.11005823 5160283.191660713, -10202909.62174092 5160375.857610177, -10202904.32415768 5160576.874489346, -10202830.15765826 5160576.874489346, -10202671.22938159 5160710.888197002, -10202569.5153157 5160584.002942155, -10202279.20644018 5160843.477908967, -10202188.0876521 5160705.185358421)), ((-10205607.98337726 5161612.175647887, -10205744.39450391 5161611.426472633, -10205770.22262953 5161679.011275268, -10205770.22262953 5161775.255468, -10205713.26356304 5161902.382195223, -10205607.98337726 5161901.800184736, -10205607.98337726 5161612.175647887)))"
550,IA,1877.00,154059.00,North Iowa Area Community College,"Public, 2 Year",0.0,0.0,0.0, ,No,,,,,,,,Mason City,-93.13126,43.157169,28,13.07%,0.21%,1.37%,4.06%,5.35%,0.10%,1.99%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,north iowa area community college,154059,NORTH IOWA AREA COMMUNITY COLLEGE,500 COLLEGE DR,MASON CITY,IA,50401,NOT AVAILABLE,(641) 423-1264,1,A,3429,CERRO GORDO,19033,USA,611210,JUNIOR COLLEGES,http://www.niacc.edu/about/campus-map/,2018-05-09,IMAGERY/OTHER,2018-05-09,www.niacc.edu,2995,434,NOT AVAILABLE,-10367517.514448369,5336030.417510104,"-10367517.514448369, 5336030.417510104","MULTIPOLYGON (((-10367225.4562919 5336757.202160358, -10367224.39675299 5336424.571143018, -10367310.21795782 5336426.023678408, -10367351.69715856 5336398.692915455, -10367398.05126244 5336340.592762357, -10367456.64828392 5336322.203831209, -10367457.49074983 5336263.912480731, -10367186.14693068 5336264.337032489, -10367129.59395768 5335918.470799741, -10367164.95648637 5335755.980520746, -10367254.06339728 5335654.771737959, -10367384.38445724 5335637.343075052, -10367557.08651713 5335635.890662512, -10367574.03880579 5335669.29575033, -10367699.06239382 5335689.629314088, -10367777.46693757 5335753.534979856, -10367818.78828727 5335834.870083096, -10367820.9073651 5336263.343715708, -10367518.94289361 5336263.816185927, -10367568.50700633 5336331.218825511, -10367652.33637151 5336366.011630173, -10367676.17566311 5336493.106398246, -10367563.4436393 5336492.839330018, -10367493.51518421 5336755.749573374, -10367225.4562919 5336757.202160358)), ((-10367892.9547867 5335288.77635213, -10368034.9307747 5334980.886497422, -10368164.19240706 5335075.285626183, -10368045.68379223 5335372.916011273, -10367892.9547867 5335288.77635213)))"
551,IA,4600.00,154129.00,Northwest Iowa Community College,"Public, 2 Year",0.0,0.0,0.0, ,No,,,,,,,,Sheldon,-95.880639,43.184701,19,14.02%,1.06%,1.55%,3.21%,7.14%,0.23%,0.83%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,northwest iowa community college,154129,NORTHWEST IOWA COMMUNITY COLLEGE,603 W PARK ST,SHELDON,IA,51201,NOT AVAILABLE,(712) 324-5061,1,A,2016,SIOUX,19167,USA,611210,JUNIOR COLLEGES,https://nwicc.edu/about/map/,2018-05-09,IMAGERY/OTHER,2018-05-09,www.nwicc.edu,1747,269,NOT AVAILABLE,-10673176.272682898,5339978.603846128,"-10673176.272682898, 5339978.603846128","POLYGON ((-10673516.23299808 5340292.015561965, -10672815.1750164 5340294.728707531, -10672710.2573982 5339908.891032906, -10672956.61967647 5339946.19497666, -10672960.6183839 5339732.415292447, -10672979.93465326 5339660.556422794, -10673029.67342626 5339611.529671528, -10673499.08300601 5339609.398212251, -10673517.55736606 5340106.745359376, -10673516.23299808 5340292.015561965))"
552,IA,1883.00,154101.00,Northwestern College,"Private, 4 Year",0.0,0.0,0.0, ,No,,,,,,,,Orange City,-96.058772,42.999007,27,7.27%,0.34%,1.09%,1.22%,3.46%,0.00%,1.15%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,northwestern college,154101,NORTHWESTERN COLLEGE,101 SEVENTH ST SW,ORANGE CITY,IA,51041,NOT AVAILABLE,(712) 707-7000,2,A,1660,SIOUX,19167,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://www.nwciowa.edu/campus/map,2018-05-09,IMAGERY/OTHER,2018-05-09,https://www.nwciowa.edu/,1299,361,NOT AVAILABLE,-10693014.482689265,5311608.804766087,"-10693014.482689265, 5311608.804766087","POLYGON ((-10692453.30119755 5311974.370590885, -10692455.95004484 5311608.577577329, -10692634.7442865 5311583.226161638, -10692642.69071703 5311184.855165836, -10693202.91273362 5311177.612094887, -10693572.42086274 5311338.76923825, -10693548.58157116 5311595.901860895, -10693424.0878639 5311601.33433044, -10693428.06107917 5311668.334844612, -10693478.388287 5311671.956569407, -10693462.49542594 5311976.181436257, -10693075.77006777 5311983.424973474, -10693071.7968525 5312070.348314285, -10693000.27920037 5312072.15917825, -10693006.90126291 5312021.453902262, -10692843.99977099 5312019.642895905, -10692825.45817396 5311961.694378663, -10692773.80648684 5311976.181436257, -10692453.30119755 5311974.370590885))"
553,IA,1889.00,154235.00,Saint Ambrose University,"Private, 4 Year",1.0,1.0,1.0, ,Yes,,,https://www.allinchallenge.org/wp-content/uploads/Saint-Ambrose-University-NSLVE-2018.pdf,,,,,Davenport,-90.579854,41.54065,29,15.57%,0.15%,1.46%,4.33%,6.89%,0.15%,2.60%, ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, ,saint ambrose university,154235,SAINT AMBROSE UNIVERSITY,518 W LOCUST ST,DAVENPORT,IA,52803,2898,(563) 333-6000,2,A,3637,SCOTT,19163,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",http://www.sau.edu/about-sau/our-location,2018-05-09,IMAGERY/OTHER,2018-05-09,www.sau.edu,3045,592,NOT AVAILABLE,-10083401.588262646,5092343.249004778,"-10083401.588262646, 5092343.249004778","MULTIPOLYGON (((-10083019.59848972 5092592.282325924, -10083016.94964244 5092061.454641699, -10083630.14782546 5092066.762786909, -10083628.82334615 5092595.821333962, -10083019.59848972 5092592.282325924)), ((-10084587.36609303 5092707.030584244, -10084589.35270067 5092540.876354568, -10084677.16062444 5092541.407314406, -10084677.16062444 5092610.416725523, -10084703.38371161 5092610.947540465, -10084703.38371161 5092705.968943785, -10084587.36609303 5092707.030584244)), ((-10084593.85568538 5092249.980660659, -10084675.43884588 5092249.980660659, -10084675.43884588 5092288.907840334, -10084594.12062577 5092288.907840334, -10084593.85568538 5092249.980660659)))"
554,IA,1887.00,154350.00,Simpson College,"Private, 4 Year",3.0,6.0,2.0, ,Yes,,http://www.allinchallenge.org/wp-content/uploads/Simpson-College-NSLVE-2016.pdf,https://www.allinchallenge.org/wp-content/uploads/Simpson-College-NSLVE-2018.pdf,,http://www.allinchallenge.org/wp-content/uploads/Simpson-College-Action-Plan-2018.pdf,https://www.allinchallenge.org/wp-content/uploads/Simpson-College-Action-Plan-2020-UPDATED.pdf,,Indianola,-93.563471,41.365503,29,10.43%,0.12%,1.78%,2.39%,3.87%,0.18%,2.09%,X,X,X, , , , , , , , , , , , , ,X, , , , , ,X, , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , ,X,X, ,simpson college,154350,SIMPSON COLLEGE,701 NORTH C ST,INDIANOLA,IA,50125,NOT AVAILABLE,(515) 961-6251,2,A,1869,WARREN,19181,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",http://simpson.edu/wp-content/uploads/2012/07/Simpson3D_Map_NOYouAreHere.jpg,2018-05-09,IMAGERY/OTHER,2018-05-09,www.simpson.edu,1444,425,NOT AVAILABLE,-10415775.32394838,5066446.6706054555,"-10415775.32394838, 5066446.6706054555","POLYGON ((-10415009.04425799 5066078.678125683, -10415728.4593803 5066091.383400114, -10415728.4593803 5066059.057890078, -10415769.96218077 5066059.587244201, -10415769.85620461 5066048.472000239, -10415859.3593016 5066048.999573946, -10415859.74814059 5066093.512392875, -10415983.72064998 5066093.997252732, -10415983.32335071 5066018.824836773, -10416148.02988818 5066020.799116382, -10416147.42208376 5066095.702494193, -10416265.63681513 5066098.441827217, -10416265.02355606 5066254.931429012, -10416135.49709463 5066254.402064173, -10416135.09979537 5066395.751071696, -10416152.26804384 5066464.077160604, -10416173.45848815 5066606.664518055, -10416177.2157436 5066690.102435542, -10416359.15654199 5066705.620405258, -10416476.00081911 5066851.046552323, -10416476.00081911 5066982.874562875, -10415945.66129531 5066983.613563921, -10415944.6017564 5066694.194408028, -10415316.30553349 5066694.194408028, -10415314.60624146 5066358.19891664, -10415233.55285042 5066357.669546136, -10415160.02977765 5066358.227394958, -10415159.65129139 5066317.964764661, -10415087.73622867 5066343.375811918, -10415007.98471907 5066342.667711366, -10415009.04425799 5066078.678125683))"
555,IA,1848.00,154378.00,Southeastern Community College,"Public, 2 Year",0.0,0.0,2.0, ,No,,,,,,,,West Burlington,-91.171881,40.814496,31,17.09%,2.12%,1.20%,6.20%,5.21%,0.08%,2.28%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X,X, ,southeastern community college,154378,SOUTHEASTERN COMMUNITY COLLEGE,1500 WEST AGENCY ROAD,WEST BURLINGTON,IA,52655,0180,(319) 752-2731,1,A,2925,DES MOINES,19057,USA,611210,JUNIOR COLLEGES,https://www.scciowa.edu/admissions/visit/mapsdir.aspx,2018-05-09,IMAGERY/OTHER,2019-01-28,www.scciowa.edu,2548,377,NOT AVAILABLE,-10149414.956625944,4985021.481760811,"-10149414.956625944, 4985021.481760811","POLYGON ((-10149058.73602721 4985381.177969366, -10149040.77273494 4985171.355628012, -10149054.42484597 4984627.357408922, -10149081.58368478 4984625.15781755, -10149356.92676796 4984615.533599923, -10149747.80846196 4984620.711864654, -10149746.37143865 4984777.357326225, -10149783.01659051 4984821.028703488, -10149814.63199381 4984839.06690612, -10149826.98044228 4984855.382639797, -10149818.22460774 4984929.258419394, -10149811.03926856 4985315.667363464, -10149566.01983731 4985311.869620169, -10149562.34150738 4985518.328880768, -10149370.03842287 4985464.428303968, -10149058.73602721 4985381.177969366))"
559,IA,1857.00,154396.00,Southwestern Community College,"Public, 2 Year",0.0,0.0,0.0, ,No,,,,,,,,Creston,-94.380906,41.073437,34,14.85%,0.40%,1.10%,5.36%,5.93%,0.00%,2.07%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,southwestern community college,154396,SOUTHWESTERN COMMUNITY COLLEGE,1501 WEST TOWNLINE STREET,CRESTON,IA,50801,NOT AVAILABLE,(641) 782-7081,1,A,1795,UNION,19175,USA,611210,JUNIOR COLLEGES,https://www.swcciowa.edu/about/campus-map,2018-05-09,IMAGERY/OTHER,2019-02-19,www.swcciowa.edu,1547,248,NOT AVAILABLE,-10506235.82043136,5023183.006787128,"-10506235.82043136, 5023183.006787128","POLYGON ((-10505873.76018009 5023363.899826598, -10505873.75372355 5022851.970416145, -10506414.12179764 5022852.890482125, -10506549.17315671 5022854.815961511, -10506547.73613341 5023040.671260638, -10506580.78856002 5023101.670749965, -10506579.79781655 5023166.983893645, -10506580.04338734 5023209.381486199, -10506536.239613 5023306.593596158, -10506539.42468627 5023364.633732717, -10506511.09098155 5023382.845106473, -10506510.92890038 5023586.869701209, -10506180.56604755 5023597.305588998, -10506134.58007722 5023544.881573115, -10506112.30549239 5023492.457692681, -10506110.14990177 5023367.594756491, -10505873.76018009 5023363.899826598))"
563,IA,1891.00,153278.00,University of Dubuque,"Private, 4 Year",0.0,0.0,0.0, ,Yes,,,,,,,,Dubuque,-90.693428,42.49726,54,25.58%,0.15%,1.50%,13.32%,7.71%,0.34%,2.56%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,university dubuque,153278,UNIVERSITY OF DUBUQUE,2000 UNIVERSITY AVE,DUBUQUE,IA,52001,NOT AVAILABLE,(563) 589-3000,2,A,2875,DUBUQUE,19061,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://www.dbq.edu/media/Contact/CampusMap.pdf,2018-05-07,IMAGERY/OTHER,2018-05-07,www.dbq.edu,2385,490,NOT AVAILABLE,-10096214.35272157,5235456.096277904,"-10096214.35272157, 5235456.096277904","POLYGON ((-10096261.70336124 5234822.02857093, -10096718.67265394 5234883.033686323, -10096635.33955104 5235107.34936025, -10096492.21663833 5235583.68251719, -10096238.01891506 5235727.037509058, -10096165.17678362 5235682.13114478, -10096134.7155408 5235750.388878737, -10096102.92992999 5235789.906747679, -10096020.81700005 5235915.64632989, -10096092.3347635 5235931.813014395, -10096048.40953959 5236079.275121531, -10096018.16815276 5236098.869922359, -10096063.64016099 5236205.91693501, -10095913.98268285 5236259.807496927, -10095871.60179423 5236143.044926076, -10095887.4946553 5236134.961399504, -10095870.9396659 5236062.210122811, -10095928.55117593 5236038.857981882, -10095659.25530145 5235879.72056409, -10095697.57759275 5235810.049614512, -10095676.25256318 5235797.256662874, -10095679.56353879 5235702.952888518, -10095840.46506475 5235714.273507069, -10095843.12715905 5235652.658048123, -10095885.72801498 5235649.798809505, -10095869.83515392 5235583.338136768, -10095922.78460367 5235585.629980437, -10095933.56578504 5235457.350397553, -10096050.14100295 5235470.52576382, -10096094.98349947 5235380.366333683, -10096117.49831176 5235301.334340348, -10096146.63518659 5235233.079852718, -10096157.00159153 5235195.31165967, -10096262.78282634 5234895.220173303, -10096209.89215328 5234873.262678306, -10096261.70336124 5234822.02857093))"
564,IA,1892.00,153658.00,University of Iowa,"Public, 4 Year",3.0,9.0,4.0, ,Yes,,,https://www.allinchallenge.org/wp-content/uploads/University-of-Iowa-NSLVE-2018.pdf,,http://www.allinchallenge.org/wp-content/uploads/University-of-Iowa-Action-Plan-2018.pdf,https://www.allinchallenge.org/wp-content/uploads/University-of-Iowa-Action-Plan-2020.pdf,,Iowa City,-91.536425,41.661935,20,17.64%,0.18%,4.39%,3.31%,6.85%,0.08%,2.83%,X,X, ,X, , , , , , , , , , , , ,X, , , , , , , , , , ,X,X,X, , , , , , , ,X, , , , , , , , , ,X, , , ,X,X,X,X,university iowa,153658,UNIVERSITY OF IOWA,101 JESSUP HALL,IOWA CITY,IA,52242,1316,(319) 335-3500,1,A,42592,JOHNSON,19103,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://maps.uiowa.edu/,2018-05-08,IMAGERY/OTHER,2018-05-08,www.uiowa.edu,31656,10936,NOT AVAILABLE,-10192019.093593447,5110450.144775009,"-10192019.093593447, 5110450.144775009","MULTIPOLYGON (((-10191289.02362293 5110665.205602025, -10191267.83328995 5110588.620587473, -10191197.90483486 5110568.765302072, -10191119.50017978 5110608.475913951, -10190945.73869229 5110687.897481767, -10190810.11993777 5110719.099071668, -10190810.11993777 5110772.992844034, -10190630.00121681 5110764.483288751, -10190632.12029464 5110682.224544052, -10190555.83471739 5110614.148808064, -10190587.62043951 5110520.545515601, -10190449.88260716 5110514.872676832, -10190418.09699636 5109712.191831028, -10191562.38020981 5109715.02808723, -10192289.21199319 5110463.816831831, -10192469.33071416 5110163.159796187, -10192691.83021242 5110253.923185971, -10192719.37777889 5110316.323495838, -10192649.44932381 5110489.344720372, -10192708.78250108 5110514.872676832, -10192672.75884594 5110628.331281529, -10192378.21181476 5110520.545515601, -10192306.16439317 5110588.620587473, -10192295.56911535 5110679.388001943, -10191986.18887335 5110597.129986786, -10191954.40315122 5110719.099071668, -10191964.99842904 5110875.108096181, -10192003.141162 5110920.493051223, -10191892.95089612 5110954.532020151, -10191780.64166374 5110869.435047784, -10191668.33243135 5110795.684978699, -10191549.66596548 5110741.791078871, -10191394.97584448 5110710.589564182, -10191289.02362293 5110665.205602025)), ((-10193965.54949587 5110638.729848211, -10193984.61117756 5109754.899805514, -10195140.02912307 5109772.932386675, -10195138.16184993 5110378.151437614, -10195226.73554049 5110381.915146953, -10195353.87809502 5110621.239967672, -10195234.68197102 5110796.748769287, -10194825.44168924 5110892.482060625, -10194749.06572057 5111245.047237813, -10194030.80052859 5111238.193747918, -10194043.42427017 5110847.213616413, -10193914.17454899 5110796.023532019, -10193965.54949587 5110638.729848211)), ((-10189437.50976204 5111535.338628438, -10189429.56333151 5111397.048116011, -10189483.86386592 5111404.139854276, -10189482.53938662 5111306.628428268, -10189562.00358061 5111308.401457394, -10189564.65231657 5111226.84722508, -10189494.45903242 5111221.528481915, -10189497.1078797 5111163.022650782, -10189560.67910131 5111164.795504364, -10189562.00358061 5110964.460056875, -10189511.01402181 5110965.346390775, -10189511.01402181 5110887.34082777, -10189582.53178527 5110890.000106351, -10189579.88293799 5110554.937554271, -10189097.13850776 5110540.755338295, -10189093.16529249 5110375.88775914, -10189580.54517763 5110375.0014797, -10189586.50500054 5110198.614129172, -10189757.35281167 5110204.818568962, -10189761.98826659 5109862.68948688, -10189928.2006228 5109866.234713869, -10189921.31373118 5109778.133961541, -10189863.04009282 5109778.133961541, -10189864.36446081 5109680.639058826, -10189765.03430181 5109675.321172694, -10189770.33199638 5109498.060484595, -10189829.93000272 5109496.287938951, -10189831.25448202 5109359.799331502, -10189776.95394761 5109359.799331502, -10189767.6831491 5109200.269810155, -10189994.15586263 5109147.09374337, -10190096.1348689 5109398.795899678, -10190224.60179142 5109696.592734903, -10190253.73866626 5109845.494692685, -10190237.8458052 5110364.896737589, -10189937.20659225 5110380.85155136, -10189929.26016172 5111065.159167915, -10189616.30400371 5111530.019714256, -10189437.50976204 5111535.338628438)), ((-10190271.88296402 5110582.947708454, -10190409.62079637 5110571.601811475, -10190411.7398742 5110668.041990924, -10190483.78729579 5110767.319706998, -10190562.19183955 5110807.031140664, -10190617.28697249 5110883.617749589, -10190441.40640717 5111036.793099524, -10190265.52584186 5111053.812700693, -10190229.50207541 5111300.600608529, -10190210.43070892 5111740.295811559, -10190379.95415208 5111748.806232398, -10190394.78747422 5111890.647939668, -10190070.57391006 5111899.158493889, -10189799.33640103 5111867.953065962, -10189733.64599027 5111785.68485964, -10189818.40776751 5111502.006794994, -10190009.12165496 5111181.460820835, -10190144.74040948 5110872.271646069, -10190271.88296402 5110582.947708454)))"
565,IA,1890.00,154095.00,University of Northern Iowa,"Public, 4 Year",2.0,6.0,1.0, ,Yes,,,https://www.allinchallenge.org/wp-content/uploads/University-of-Northern-Iowa-NSLVE-2018-1.pdf,,http://www.allinchallenge.org/wp-content/uploads/University-of-Northern-Iowa-Action-Plan-2018.pdf,https://www.allinchallenge.org/wp-content/uploads/University-of-Northern-Iowa-Action-Plan-2020.pdf,,Cedar Falls,-92.459703,42.514923,27,10.03%,0.27%,1.22%,2.85%,3.81%,0.08%,1.79%,X,X, , , , , , , ,X, , , , , , ,X, , , , , , , , , , , , ,X, , , , , , , ,X, , , , , , , , , , , , , , , ,X, ,university northern iowa,154095,UNIVERSITY OF NORTHERN IOWA,1227 W 27TH ST,CEDAR FALLS,IA,50614,0005,(319) 273-2311,1,A,13166,BLACK HAWK,19013,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://uni.edu/campusmap,2017-03-29,IMAGERY/OTHER,2018-05-09,www.uni.edu,11187,1979,NOT AVAILABLE,-10292970.219228907,5238289.831083945,"-10292970.219228907, 5238289.831083945","POLYGON ((-10292666.330466 5239398.087540369, -10292667.79353807 5239069.926597891, -10292472.31283869 5239065.908047714, -10292474.29221055 5238718.862770466, -10292293.516148 5238716.418986987, -10292294.83572924 5238866.2036496, -10292240.53530614 5238864.406841804, -10292240.55189275 5238715.702963531, -10292141.95677635 5238714.370142115, -10292051.80802632 5238715.269211312, -10292051.14578667 5238678.434327213, -10292141.81707039 5238679.328258057, -10292138.0327643 5237729.539667831, -10291928.63857573 5237518.659440449, -10291824.01083348 5237509.676385437, -10291677.00220263 5237662.388275259, -10291357.82139265 5237362.356680793, -10291870.36493737 5236846.755744185, -10292424.1035955 5237452.861520174, -10292718.12074589 5237707.979989297, -10292826.7217034 5237610.962347348, -10293748.50552991 5237628.928507705, -10293748.63176621 5238175.51823877, -10294148.47490185 5238175.116376452, -10294150.3228054 5237951.649295484, -10294294.6827003 5237953.445929521, -10294294.6827003 5238366.691415395, -10294144.18264493 5238366.547340081, -10294127.28445754 5239120.239649475, -10293845.57801831 5239246.066346309, -10293212.64634048 5239245.347564007, -10293212.2489299 5239404.556536678, -10292666.330466 5239398.087540369))"
