query_id,placekey,error,pollingHours,latitude,longitude,startDate,endDate,sources,address.locationName,address.line1,address.city,address.state,address.zip,notes,address.line2,name,voterServices
59,zzw-223@5sb-8fp-2ff,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.0404802,-87.887268,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Des Plaines Public Library,1501 Ellinwood St,Des Plaines,IL,60016,,,,
60,22b-223@5sb-8dw-m49,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.0029029,-88.0078245,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Elk Grove Village Hall,901 Wellington Ave,Elk Grove Village,IL,60007,,,,
61,226@5sb-d2t-ghq,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.0784379,-87.8225269,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Glenview Village Hall,2500 E Lake Ave,Glenview,IL,60025,,,,
62,zzw-222@5sb-89d-x89,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.113822,-88.1818499,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Barrington Hills Village Hall,112 Algonquin Rd,Barrington,IL,60010,,,,
63,zzw-222@5sb-89v-8n5,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.0640606,-88.1246117,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Hoffman Estates Village Hall,1900 Hassell Rd,Hoffman Estates,IL,60169,,,,
64,227@5sb-7tj-8n5,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.0253438,-88.0805137,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Schaumurg Trickster Art Galley,190 S Roselle Rd,Schaumburg,IL,60193,,,,
65,zzw-222@5pw-6r2-wx5,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.0631781,-87.7661191,10/7/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Skokie Courthouse,5600 Old Orchard Rd,Skokie,IL,60077,Room 149,,,
66,229@5sb-8g7-94v,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.0081422,-87.8305297,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Park Ridge City Hall,505 Butler Pl,Park Ridge,IL,60068,,,,
67,222@5pw-6qy-z75,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.026079,-87.8015767,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Niles Village Hall,1000 Civic Center Dr,Niles,IL,60714,,,,
68,zzz-222@5pw-6sq-99f,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.0699656,-87.7334824,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Wilmette Centennial Ice Rinks,2300 Old Glenview Rd,Wilmette,IL,60091,,,,
69,222-222@5sb-8db-fzz,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",41.9370758,-87.8635303,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Franklin Park Village Hall,9500 Belmont Ave,Franklin Park,IL,60131,,,,
70,zzw-223@5pw-6rh-6tv,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.0211676,-87.7494991,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Oakton Community College - Skokie Campus,7701 Lincoln St,Skokie,IL,60077,,,,
71,@5sb-7vh-wc5,Invalid address,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.0106116,-88.1727412,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Streamwood Village Hall,351 E Irving Park Rd,Streamwood,IL,60107,Rear Garage,,,
72,zzw-222@5pw-6q7-2c5,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",42.0567327,-87.6871578,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Evanston Civic Center,2100 Ridge Ave,Evanston,IL,60201,,,,
73,224@5pw-6b6-tvz,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",41.9526142,-87.8146178,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Norridge Village Hall,4000 N Olcott Ave,Norridge,IL,60706,,,,
74,224-222@5pw-689-xkf,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",41.8966123,-87.8649495,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Melrose Park Village Hall,1000 N 25th Ave,Melrose Park,IL,60160,,,,
75,222@5pw-6b2-h89,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",41.9263181,-87.8186282,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Elmwood Park Village Hall,11 W Conti Pkwy,Elmwood Park,IL,60707,,,,
76,227-223@5sb-7yk-9j9,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",41.8813295,-87.8728505,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Bellwood Village Hall,3200 Washington Blvd,Bellwood,IL,60104,,,,
77,229@5pw-687-zfz,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",41.8745197,-87.8258463,10/7/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Maywood Courthouse (Whitcomb Building),1311 Maybrook Square,Maywood,IL,60153,Room 104,,,
78,zzw-222@5pw-67h-p5f,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",41.8793279,-87.7791004,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Oak Park Village Hall,123 Madison St,Oak Park,IL,60302,,,,
79,222-222@5pw-2nr-pgk,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",41.8234812,-87.8410848,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Brookfield Village Hall,8820 Brookfield Ave,Brookfield,IL,60513,,,,
80,zzw-222@5pw-2ns-wc5,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",41.8136539,-87.8262686,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Lyons Village Hall,4200 S Lawndale Ave,Lyons,IL,60534,,,,
81,222@5pw-2k9-f4v,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",41.7717079,-87.8550522,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Hodgkins Village Hall,8990 Lyons St,Hodgkins,IL,60525,,,,
82,zzw-222@5pw-683-3h5,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",41.849832,-87.7472234,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Cicero Community Center,2250 S 49th Ave,Cicero,IL,60804,,,,
83,222-222@5pw-67v-87q,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",41.8312052,-87.7591036,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Cicero PSO Building,5410 W 34th St,Cicero,IL,60804,,,,
84,223-223@5pw-5zw-xbk,,"Sun, Nov 1: 9 am - 5 pm
Mon, Nov 2: 8:30 am - 7:00 pm",41.8785772,-87.6396665,10/19/2020,11/2/2020,"[{'name': 'DemocracyWorks', 'official': False}]",Union Station,225 S Canal St,Chicago,IL,60606,,,,
